# time  ID  size  fromHost  toHost  TTL  isResponse
17.0000 M1 518834 Node6 Node10 30 N 
28.0000 M2 977273 Node13 Node10 30 N 
39.0000 M3 668122 Node11 Node17 30 N 
52.0000 M4 823257 Node7 Node1 30 N 
69.0000 M5 774671 Node6 Node17 30 N 
80.0000 M6 672208 Node17 Node2 30 N 
91.0000 M7 226475 Node15 Node8 30 N 
108.0000 M8 969587 Node9 Node7 30 N 
119.0000 M9 980511 Node17 Node4 30 N 
129.0000 M10 592254 Node17 Node5 30 N 
139.0000 M11 880680 Node7 Node11 30 N 
156.0000 M12 954239 Node1 Node2 30 N 
167.0000 M13 574311 Node12 Node3 30 N 
178.0000 M14 930271 Node1 Node2 30 N 
190.0000 M15 954268 Node17 Node1 30 N 
205.0000 M16 227969 Node9 Node12 30 N 
217.0000 M17 748700 Node13 Node3 30 N 
227.0000 M18 608959 Node15 Node8 30 N 
240.0000 M19 184570 Node16 Node8 30 N 
250.0000 M20 363205 Node9 Node14 30 N 
263.0000 M21 504952 Node9 Node6 30 N 
276.0000 M22 333640 Node2 Node14 30 N 
290.0000 M23 930182 Node14 Node2 30 N 
306.0000 M24 470826 Node17 Node7 30 N 
317.0000 M25 734520 Node8 Node13 30 N 
336.0000 M26 388617 Node5 Node8 30 N 
354.0000 M27 777199 Node6 Node17 30 N 
364.0000 M28 475325 Node15 Node4 30 N 
377.0000 M29 548083 Node14 Node0 30 N 
392.0000 M30 770945 Node13 Node11 30 N 
403.0000 M31 982298 Node17 Node0 30 N 
413.0000 M32 292375 Node14 Node16 30 N 
424.0000 M33 188356 Node12 Node2 30 N 
436.0000 M34 248331 Node1 Node9 30 N 
448.0000 M35 159611 Node12 Node2 30 N 
459.0000 M36 256756 Node1 Node4 30 N 
477.0000 M37 598725 Node12 Node4 30 N 
495.0000 M38 883915 Node6 Node14 30 N 
510.0000 M39 972441 Node11 Node10 30 N 
527.0000 M40 238158 Node12 Node13 30 N 
545.0000 M41 189225 Node0 Node6 30 N 
562.0000 M42 696711 Node0 Node13 30 N 
579.0000 M43 968074 Node12 Node11 30 N 
596.0000 M44 806581 Node15 Node2 30 N 
614.0000 M45 402628 Node13 Node7 30 N 
624.0000 M46 440661 Node8 Node6 30 N 
641.0000 M47 105393 Node14 Node1 30 N 
651.0000 M48 331448 Node17 Node13 30 N 
664.0000 M49 775185 Node12 Node2 30 N 
674.0000 M50 137117 Node1 Node16 30 N 
688.0000 M51 741881 Node0 Node13 30 N 
705.0000 M52 784336 Node16 Node17 30 N 
722.0000 M53 360634 Node9 Node0 30 N 
739.0000 M54 342166 Node8 Node13 30 N 
751.0000 M55 218175 Node16 Node15 30 N 
769.0000 M56 405197 Node0 Node1 30 N 
786.0000 M57 322635 Node0 Node10 30 N 
800.0000 M58 520977 Node8 Node10 30 N 
819.0000 M59 986270 Node17 Node10 30 N 
829.0000 M60 540531 Node9 Node15 30 N 
843.0000 M61 945934 Node0 Node10 30 N 
861.0000 M62 595682 Node4 Node1 30 N 
873.0000 M63 726254 Node16 Node6 30 N 
885.0000 M64 299504 Node5 Node10 30 N 
902.0000 M65 242250 Node13 Node0 30 N 
921.0000 M66 221262 Node11 Node16 30 N 
933.0000 M67 924219 Node15 Node5 30 N 
946.0000 M68 683537 Node14 Node3 30 N 
960.0000 M69 516388 Node9 Node10 30 N 
974.0000 M70 773483 Node9 Node12 30 N 
987.0000 M71 871415 Node15 Node0 30 N 
997.0000 M72 114657 Node17 Node1 30 N 
1008.0000 M73 817660 Node14 Node5 30 N 
1018.0000 M74 633066 Node14 Node16 30 N 
1035.0000 M75 124523 Node8 Node9 30 N 
1046.0000 M76 327279 Node7 Node4 30 N 
1061.0000 M77 354445 Node7 Node11 30 N 
1078.0000 M78 577580 Node12 Node8 30 N 
1090.0000 M79 632638 Node8 Node10 30 N 
1103.0000 M80 963085 Node12 Node15 30 N 
1118.0000 M81 791502 Node11 Node16 30 N 
1134.0000 M82 252050 Node11 Node15 30 N 
1148.0000 M83 389306 Node17 Node3 30 N 
