# messageDelay  cumulativeProbability
60.0000 0.0270
60.0000 0.0541
60.0000 0.0811
60.0000 0.1081
60.0000 0.1351
60.0000 0.1622
60.0000 0.1892
60.0000 0.2162
60.0000 0.2432
60.0000 0.2703
60.0000 0.2973
60.0000 0.3243
60.0000 0.3514
60.0000 0.3784
60.0000 0.4054
60.0000 0.4324
60.0000 0.4595
60.0000 0.4865
60.0000 0.5135
60.0000 0.5405
60.0000 0.5676
60.0000 0.5946
60.0000 0.6216
60.0000 0.6486
60.0000 0.6757
60.0000 0.7027
60.0000 0.7297
60.0000 0.7568
60.0000 0.7838
60.0000 0.8108
60.0000 0.8378
60.0000 0.8649
60.0000 0.8919
60.0000 0.9189
60.0000 0.9459
60.0000 0.9730
